File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L028_2023.03.29_101911_030_ABC.png,Full,87,96,157.089096,0.611118,15.002374,0.107112,0.078797,0.36711,302.994195,2.087263,52.281223,0.446,157.089096,16.641046,52.281223,2.087263
POEM2021_T001_L028_2023.04.21_090746_031_IAC.png,Full,126,95,185.068521,0.513323,19.113039,0.114756,0.090651,0.42304,360.364988,2.573746,66.043162,0.45,185.068521,21.020754,66.043162,2.573746
POEM2021_T001_L028_2023.05.25_090138_032_IAC.png,Full,102,97,194.707231,0.498184,21.880661,0.126623,0.102916,0.441832,371.668542,3.182971,77.070198,0.486,194.707231,24.532206,77.070198,3.182971
POEM2021_T001_L028_2023.06.19_092114_033_IAC.png,Full,102,88,158.372778,0.555651,14.281684,0.099412,0.085467,0.29514,309.428886,1.523121,49.440506,0.454,158.372778,15.737402,49.440506,1.523121
POEM2021_T001_L030_2022.09.01_093420_026_IAC.png,Full,132,162,283.489373,0.57145,23.839344,0.094531,0.082199,0.36711,545.356759,2.432095,83.799984,0.525,283.489373,26.672617,83.799984,2.432095
POEM2021_T001_L030_2022.10.12_091933_027_IAC.png,Full,154,175,275.483446,0.635247,25.275612,0.102712,0.076444,0.447377,532.569202,3.574763,87.991018,0.485,275.483446,28.007636,87.991018,3.574763
POEM2021_T001_L030_2022.11.08_111211_028_IAC.png,Full,154,240,306.580382,0.782829,33.456127,0.124991,0.094595,0.611104,579.402013,5.674743,119.273866,0.549,306.580382,37.962428,119.273866,5.674743
POEM2021_T001_L030_2023.02.15_100311_029_IAC.png,Full,151,122,281.619039,0.433209,22.734386,0.089564,0.076444,0.497253,548.053751,2.309918,78.937453,0.483,281.619039,25.125668,78.937453,2.309918
POEM2021_T001_L030_2023.03.29_101921_030_ABC.png,Full,157,167,292.420337,0.571096,23.722334,0.089647,0.076444,0.376928,569.1689,2.328479,81.977846,0.518,292.420337,26.092225,81.977846,2.328479
POEM2021_T001_L030_2023.04.21_090756_031_IAC.png,Full,172,176,291.756529,0.603243,24.097699,0.090917,0.078797,0.353682,568.11268,2.34894,83.103713,0.526,291.756529,26.447692,83.103713,2.34894
